,PMC,x,y,z
153,227,-0.141017,0.128218,0.25063
154,228,-0.140516,0.128218,0.250629
155,229,-0.140014,0.128217,0.250628
156,230,-0.139513,0.128217,0.250627
157,231,-0.139012,0.128216,0.250626
158,232,-0.139012,0.127716,0.250626
159,233,-0.139513,0.127717,0.250627
160,234,-0.140015,0.127717,0.250628
161,235,-0.140516,0.127718,0.250629
162,236,-0.141018,0.127719,0.25063
163,237,-0.141018,0.127219,0.25063
164,238,-0.140516,0.127218,0.250629
165,239,-0.140015,0.127218,0.250628
166,240,-0.139514,0.127217,0.250627
167,241,-0.139012,0.127216,0.250626
168,242,-0.139012,0.126717,0.250626
169,243,-0.139514,0.126717,0.250627
170,244,-0.140015,0.126718,0.250628
171,245,-0.140517,0.126718,0.250629
172,246,-0.141018,0.126719,0.25063
173,247,-0.141018,0.126219,0.25063
174,248,-0.140517,0.126219,0.250629
175,249,-0.140016,0.126218,0.250628
176,250,-0.139514,0.126217,0.250627
177,251,-0.139013,0.126217,0.250626
